,0
1474,Nebraska
1475,Nevada
1476,New Hampshire
1477,New Jersey
1478,North Carolina
1479,North Dakota
1480,Ohio
1481,Oklahoma
1482,Oregon
1483,Pennsylvania
1484,Rhode Island
1485,South Carolina
1486,South Dakota
1487,Tennessee
1488,Texas
1489,Utah
1490,Vermont
1491,Virginia
1492,Washington
1493,West Virginia
1494,Wisconsin
1495,Wyoming
1496,Arizona
1497,Arkansas
1498,Colorado
1499,Connecticut
1500,Delaware
1501,Florida
1502,Georgia
1503,Idaho
1504,Illinois
1505,Indiana
1506,Iowa
1507,Kansas
1508,Kentucky
1509,Louisiana
1510,Maine
1511,Maryland
1512,Massachusetts
1513,Michigan
1514,Minnesota
1515,Mississippi
1516,Missouri
1517,Montana
1518,Nebraska
1519,Nevada
1520,New Hampshire
1521,New Jersey
1522,North Carolina
1523,North Dakota
1524,Ohio
1525,Oklahoma
1526,Oregon
1527,Pennsylvania
1528,Rhode Island
1529,South Carolina
1530,South Dakota
1531,Tennessee
1532,Texas
1533,Utah
1534,Vermont
1535,Virginia
1536,Washington
1537,West Virginia
1538,Wisconsin
1539,Wyoming
1540,Arizona
1541,Arkansas
1542,Colorado
1543,Connecticut
1544,Delaware
1545,Florida
1546,Georgia
1547,Idaho
1548,Illinois
1549,Indiana
1550,Iowa
1551,Kansas
1552,Kentucky
1553,Louisiana
1554,Maine
1555,Maryland
1556,Massachusetts
1557,Michigan
1558,Minnesota
1559,Mississippi
1560,Missouri
1561,Montana
1562,Nebraska
1563,Nevada
1564,New Hampshire
1565,New Jersey
1566,North Carolina
1567,North Dakota
1568,Ohio
1569,Oklahoma
1570,Oregon
1571,Pennsylvania
1572,Rhode Island
1573,South Carolina
1574,South Dakota
1575,Tennessee
1576,Texas
1577,Utah
1578,Vermont
1579,Virginia
1580,Washington
1581,West Virginia
1582,Wisconsin
1583,Wyoming
1584,Arizona
1585,Arkansas
1586,Colorado
1587,Connecticut
1588,Delaware
1589,Florida
1590,Georgia
1591,Idaho
1592,Illinois
1593,Indiana
1594,Iowa
1595,Kansas
1596,Kentucky
1597,Louisiana
1598,Maine
1599,Maryland
1600,Massachusetts
1601,Michigan
1602,Minnesota
1603,Mississippi
1604,Missouri
1605,Montana
1606,Nebraska
1607,Nevada
1608,New Hampshire
1609,New Jersey
1610,North Carolina
1611,North Dakota
1612,Ohio
1613,Oklahoma
1614,Oregon
1615,Pennsylvania
1616,Rhode Island
1617,South Carolina
1618,South Dakota
1619,Tennessee
1620,Texas
1621,Utah
1622,Vermont
1623,Virginia
1624,Washington
1625,West Virginia
1626,Wisconsin
1627,Wyoming
1628,Arizona
1629,Arkansas
1630,Colorado
1631,Connecticut
1632,Delaware
1633,Florida
1634,Georgia
1635,Idaho
1636,Illinois
1637,Indiana
1638,Iowa
1639,Kansas
1640,Kentucky
1641,Louisiana
1642,Maine
1643,Maryland
1644,Massachusetts
1645,Michigan
1646,Minnesota
1647,Mississippi
1648,Missouri
1649,Montana
1650,Nebraska
1651,Nevada
1652,New Hampshire
1653,New Jersey
1654,North Carolina
1655,North Dakota
1656,Ohio
1657,Oklahoma
1658,Oregon
1659,Pennsylvania
1660,Rhode Island
1661,South Carolina
1662,South Dakota
1663,Tennessee
1664,Texas
1665,Utah
1666,Vermont
1667,Virginia
1668,Washington
1669,West Virginia
1670,Wisconsin
1671,Wyoming
1672,Arizona
1673,Arkansas
1674,Colorado
1675,Connecticut
1676,Delaware
1677,Florida
1678,Georgia
1679,Idaho
1680,Illinois
1681,Indiana
1682,Iowa
1683,Kansas
1684,Kentucky
1685,Louisiana
1686,Maine
1687,Maryland
1688,Massachusetts
1689,Michigan
1690,Minnesota
1691,Mississippi
1692,Missouri
1693,Montana
1694,Nebraska
1695,Nevada
1696,New Hampshire
1697,New Jersey
1698,North Carolina
1699,North Dakota
1700,Ohio
1701,Oklahoma
1702,Oregon
1703,Pennsylvania
1704,Rhode Island
1705,South Carolina
1706,South Dakota
1707,Tennessee
1708,Texas
1709,Utah
1710,Vermont
1711,Virginia
1712,Washington
1713,West Virginia
1714,Wisconsin
1715,Wyoming
1716,Arizona
1717,Arkansas
1718,Colorado
1719,Connecticut
1720,Delaware
1721,Florida
1722,Georgia
1723,Idaho
1724,Illinois
1725,Indiana
1726,Iowa
1727,Kansas
1728,Kentucky
1729,Louisiana
1730,Maine
1731,Maryland
1732,Massachusetts
1733,Michigan
1734,Minnesota
1735,Mississippi
1736,Missouri
1737,Montana
1738,Nebraska
1739,Nevada
1740,New Hampshire
1741,New Jersey
1742,North Carolina
